site,url,jobs,location,location_tambahan,qualification,experience,salary,length
jobs.id,https://www.jobs.id/lowongan/MjY3MzE5/sales-representatives-inpack-indonesia?qt_ref=search&qt_page=1&qt_pos=15,Sales Representatives,Tangerang Selatan,,"<div class=""job_req""><div data-pasted=""1"">
<ul>
<li>Setidaknya lulusan SMA,</li>
<li>Berpengalaman kerja setidaknya 1 tahun di bidang grafika,</li>
<li>Memiliki inisiatif tinggi dan mau belajar,</li>
<li>Komunikatif, asertif, dan terbiasa berbicara dengan orang baru,</li>
<li>Memiliki motivasi dan semangat kerja yang tinggi,</li>
<li>Jujur dan bertanggung jawab.</li>
</ul>
</div></div>",null,Gaji Dirahasiakan,4
jobs.id,https://www.jobs.id/lowongan/MjcxNjcy/sosial-media-marketing-online-fundraiser-yayasan-harapan-indonesia-madani?qt_ref=search&qt_page=1&qt_pos=14,Sosial Media Marketing / Online Fundraiser,Yogyakarta dan ,30 kota lainnya,"<div class=""job_req""><p>- familiar dengan sosial media</p>
<p>- familiar dengan aktivitas messenger</p>
<p>- familiar dengan fundraising atau crowdfunding</p>
<p>- bersedia bekerja dengan target</p>
<p><strong>- semua jurusan bisa melamar</strong></p></div>",Fresh Graduate akan dipertimbangkan,,6
jobs.id,https://www.jobs.id/lowongan/MTg1NjI0/lowongan-translator-mandarin-hebei-jiankan-indonesia-pt?qt_ref=search&qt_page=1&qt_pos=13,Lowongan Translator Mandarin,Jember,,"<div class=""job_req""><div data-pasted=""1"">
<ul>
<li>Pria, Usia 20-35 tahun</li>
<li>Pendidikan min SMA/SMK</li>
<li>Mampu berbicara dan mendengar bahasa mandarin </li>
<li>Mempunyai motivasi untuk belajar hal-hal yang baru</li>
<li>Mampu bekerja sama, disiplin dan komunikatif</li>
<li>Bersedia ditempatkan di Grobogan, Semarang, Jawa Tengah</li>
</ul>
</div></div>",null,Gaji Dirahasiakan,4
jobs.id,https://www.jobs.id/lowongan/MjcxMjYw/sales-representative-delta-teknologi-indonesia-pt?qt_ref=search&qt_page=1&qt_pos=12,Sales Representative,Jabodetabek,4 kota lainnya,"<div class=""job_req""><div data-pasted=""1"">
<ul>
<li>Membawa Surat lamaran pekerjaan lengkap</li>
<li>Pria/Wanita, usia maks 33 tahun.</li>
<li>Pendidikan min. SMA sederajat</li>
<li>Domisili Tempat Tinggal diutamakan Jakarta Barat / DKI Jakarta / sekitarnya</li>
<li>Memiliki keterampilan interpersonal, presentasi produk, dan negosiasi yang baik.</li>
<li>Lebih disukai punya pengalaman sebagai marketing/sales/telemarketing.</li>
<li>Menyukai bidang IT. Lebih disukai memiliki pengetahuan mengenai komputer (hardware &amp; software)</li>
<li>Memiliki penampilan dan kepribadian yang menarik, cepat menguasai hal baru</li>
<li>Mampu bekerjasama,disiplin, menyukai tantangan, tekun, dan memiliki jiwa marketing.</li>
<li>Lebih disukai jika sudah memiliki database customer sendiri.</li>
<li>Mau ditugaskan didalam kantor atau luar sesuai kebutuhan customer.</li>
</ul>
<p><br>Kirim Lamaran ke :<br>PT. DELTA TEKNOLOGI INDONESIA<br>Jl. Arteri Ring Road Green Garden<br>( seberang McD Green Garden, Kedoya Utara )<br>Jakarta Barat, 11520</p>
</div></div>",Fresh Graduate akan dipertimbangkan,Gaji Dirahasiakan,6
jobs.id,https://www.jobs.id/lowongan/MTg2ODcw/marketing-online-staff-sun-indonesia-pt?qt_ref=search&qt_page=1&qt_pos=11,MARKETING ONLINE STAFF,Surabaya,,"<div class=""job_req""><div data-pasted=""1"">
<ul>
<li>Male / Female, max 30 years old</li>
<li>S1, all major, GPA min 3.00</li>
<li>Willing to work below companies target</li>
<li>Have knowledge and skills in online marketing and online sales – after sales</li>
<li>Good online communication (chatting / email / voice)</li>
<li>Knowing well characteristic online market place and its user</li>
<li>Fluent in English</li>
<li>Computer literate is a must (Ms.Office, advanced in Ms.Excel, Power Point)</li>
</ul>
</div></div>",null,Gaji Dirahasiakan,4
jobs.id,https://www.jobs.id/lowongan/MjcxNzIx/accounting-miwa-asalta-indonesia-pt?qt_ref=search&qt_page=1&qt_pos=10,Accounting,Bogor,,"<div class=""job_req""><div data-pasted=""1"">
<ul>
<li>Pria/Wanita</li>
<li>Usia maksimal 45 tahun</li>
<li>Pendidikan Minimum S1 Keuangan atau Akutansi</li>
<li>Pemahaman mengenai standar akutansi indonesia</li>
<li>Pemahaman mengenai sistem keuangan dan akutansi (komputerisasi)</li>
<li>Pemahaman mengenai perpajakan</li>
<li>Pemahaman mengenai treasury</li>
<li>Memiliki pengalaman kerja minimal 5 tahun di bidang accounting</li>
<li>Lebih diutamakan pengalaman kerja di perusahaan manufaktur (made to orde)</li>
<li>Memiliki konsep manajerial yang baik</li>
<li>Berorientasi pada target dan deadline yang tinggi</li>
<li>Memiliki daya tahan kerja dibawah tekanan yang tinggi</li>
<li>Memiliki jiwa kepemimpinan</li>
<li>Lancar berkomunikasi (bahasa yang digunakan english dan indonesia)</li>
<li>Mempunyai kemampuan analitis, evaluatif, dan implementatif</li>
<li>Mahir menggunakan komputer ms.office (word, excel, powerpoint)</li>
<li>Mempunyai hubungan interpersonal yang baik, kreatif dan inovatif</li>
<li>Sanggup dan mampu bekerja sama talam tim (team work)</li>
</ul>
</div></div>",null,Gaji Dirahasiakan,4
jobs.id,https://www.jobs.id/lowongan/MTk2Njkw/web-developer-and-maintenance-nova-indonesia-pt?qt_ref=search&qt_page=1&qt_pos=9,Web Developer and Maintenance,Yogyakarta,,"<div class=""job_req""><div data-pasted=""1"">
<ul>
<li>Have a bachelor's degree from computer technology (or another fields that are relevant)</li>
<li>Spirit of creativity</li>
<li>Conscientious of improvement’s tasks</li>
<li>Able to communicate in English</li>
<li>Strong skills with responsive Web design</li>
<li>Experience and strong skills with <u>Wordpress</u> and Shopify</li>
<li>Good knowledge about plugins</li>
<li>Experience in handling e-commerce sites</li>
<li>Strong skills with HTML, CSS, PHP, Ruby on Rails, JavaScript, JQUERY</li>
<li>Familiar with SEO (Search Engine Optimization) and social media</li>
<li>Able to comply with the regulations that exist in the company</li>
<li>Understand troubleshoot and repair computer networks be an added value</li>
</ul>
</div></div>",null,,4
jobs.id,https://www.jobs.id/lowongan/MjcxMzI3/promotion-e-commerce-hi-cook-indonesia-pt?qt_ref=search&qt_page=1&qt_pos=8,Promotion (E-Commerce),Jakarta Raya,,"<div class=""job_req""><div data-pasted=""1"">
<div data-pasted=""1"">
<ul>
<li>Minimum S1 graduates</li>
<li>Max age 27 years old</li>
<li>Mastering Computer and Internet</li>
<li>English active</li>
<li>Active on social networks (Instagram,Facebook,Twitter,etc)</li>
<li>Excellent verbal, written and interpersonal communication skills</li>
<li>Meet deadlines</li>
<li>Experience in the field of online and offline promotion is preferred.</li>
<li>Have experience as a online promotions staff in an e commerce are preferred.</li>
</ul>
</div>
</div></div>",null,Gaji Dirahasiakan,4
jobs.id,https://www.jobs.id/lowongan/MTcxNDgz/staff-junior-accounting-toyota-tsusho-techno-park-indonesia-pt?qt_ref=search&qt_page=1&qt_pos=7,Staff Junior Accounting,Karawang,,"<div class=""job_req""><div data-pasted=""1"">
<ul>
<li>Age maximum 28 years old.</li>
<li>Candidate must possess at least a Diploma, Bachelor's Degree, Finance/Accountancy/Banking or equivalent.</li>
<li>Required language: English, Bahasa Indonesia</li>
<li>At least 1 year of working experience in the related field is required for this position.</li>
<li>Applicants must be willing to work in Karawang,East Java.</li>
<li>Preferably Staff (non-management &amp; non-supervisor)s specializing in Finance - General/Cost Accounting or equivalent.</li>
<li>Full-Time position available.</li>
<li>Required skills:Interpersonal skill, basic accounting, finance management, computer literacy, good with figures, communication skill, strong team work ability, Willing over time, honest, hardworking.</li>
</ul>
</div></div>",Fresh Graduate akan dipertimbangkan,,6
jobs.id,https://www.jobs.id/lowongan/MjcxNzgy/desain-grafis-panmomo-retail-indonesia-pt?qt_ref=search&qt_page=1&qt_pos=6,Desain Grafis,Tangerang Selatan,,"<div class=""job_req""><div data-pasted=""1"">
<ul>
<li>Wanita, maksimal berumur 25 tahun.</li>
<li>Pendidikan minimal SMA/SMK.</li>
<li><em>Freshgraduate</em> atau berpengalaman</li>
<li>Bisa menggunakan komputer dan <em>software editing</em> foto, terutama Photoshop.</li>
<li>Memahami dasar / teori desain visual, mampu membedakan desain yang bagus dan tidak.</li>
<li>Mengikuti perkembangan dan menguasai penggunaan media sosial, terutama Instagram</li>
</ul>
<div data-pasted=""1"">Lokasi Kerja: Pamulang, Tangerang Selatan.</div>
<div data-pasted=""1"">Jam Kerja: Senin-Jumat 8:00-16:00, Sabtu 8:00-13:00.</div>
</div></div>",Fresh Graduate akan dipertimbangkan,Gaji Dirahasiakan,6
jobs.id,https://www.jobs.id/lowongan/MjcxODEz/sales-in-house-property-executive-global-indonesia-pt?qt_ref=search&qt_page=1&qt_pos=5,Sales In House Property,Depok dan ,3 kota lainnya,"<div class=""job_req""><div data-pasted=""1"">
<div data-pasted=""1"">1. Laki-laki dan Perempuan
<p>2. Usia 20 - 38 Tahun</p>
<p>3. Fresh Graduate (belum pengalaman) boleh melamar</p>
<p>4. Berpenampilan Menarik, Pekerja Keras, Dapat Berkomunikasi dengan Baik.</p>
<p>5. Memiliki Networking di berbagai bidang dan kemampuan lain</p>
<p>6. Fasih mengunakan media Sosial</p>
</div>
<div data-pasted=""1"">7. Biasa bekerja dengan Target</div>
</div></div>",Fresh Graduate akan dipertimbangkan,,6
jobs.id,https://www.jobs.id/lowongan/MjcxODAz/staff-administrasi-indonesia-karya-samudra-pt?qt_ref=search&qt_page=1&qt_pos=4,Staff Administrasi,Jakarta Selatan dan ,"4 kota lainnya,7 kota lainnya,7 kota lainnya,7 kota lainnya","<div class=""job_req""><p>Membuat laporan</p>
<p>Bisa komputer minimal world dan exel</p>
<p>Filling data</p>
<p>Input data</p></div>",Fresh Graduate akan dipertimbangkan,,6
jobs.id,https://www.jobs.id/lowongan/MjcwNTM2/financestaff-cosco-shipping-line-indonesia-pt?qt_ref=search&qt_page=1&qt_pos=3,Finance/staff,Jakarta Pusat,,"<div class=""job_req""><div data-pasted=""1"">
<ul>
<li>Bachelor Degree (Accounting / Finance / Tax) from Reputable University</li>
<li>Min. 1 years of working experiences as Finance Staff</li>
<li>Able to work under pressure</li>
<li>Fluent in English (written and spoken)</li>
<li>Able to speak Mandarin</li>
<li>Only shortlisted candidates will be contacted</li>
</ul>
</div></div>",Fresh Graduate akan dipertimbangkan,Gaji Dirahasiakan,6
jobs.id,https://www.jobs.id/lowongan/MjcxODQ5/accounting-and-finance-staff-ats-indonesia?qt_ref=search&qt_page=1&qt_pos=2,Accounting And Finance Staff,Bekasi,,"<div class=""job_req""><div data-pasted=""1"">
<p>Requirement</p>
<ul>
<li>Candidate must be possess atleast Diploma, Bachelor Degree in Finance, Accounting or Equivalent.</li>
<li>Male with maximum age 30 years old.</li>
<li>Preferable experienced in Finance and or Accounting, fresh graduate are welcome.</li>
<li>Having strong analytical skill and also Computer skills and competences Good command of Microsoft Office tools (Excel and Word).</li>
<li>Familiar with Accurate is a plus.</li>
<li>Having good attitude, dicipline, fast learner, and trustworthy with strong integrity.</li>
<li>Fluent in english both oral and written.</li>
<li>Has driver license A and/or C.</li>
</ul>
</div></div>",Fresh Graduate akan dipertimbangkan,,6
jobs.id,https://www.jobs.id/lowongan/MjcwODY3/temporary-receptionist-etex-building-performance-indonesia-pt?qt_ref=search&qt_page=1&qt_pos=1,Temporary Receptionist,Gresik,,"<div class=""job_req""><div data-pasted=""1"">
<ul>
<li>Min D3/ S1</li>
<li>Ideally have 2 years experiences in related fields, but fresh graduates are welcome</li>
<li>Dynamic and motivated young people</li>
<li>Good team player, good communication and administrative</li>
<li>Good command of English, Windows, Excel, Word</li>
</ul>
</div></div>",null,Gaji Dirahasiakan,4
