site,url,date_time,domain_of_jobs,job_title,position,experience,location,salary,qualification_level
karir.com,/opportunities/1223499,2019-03-31 23:00:58,Hukum / Korporasi,Legal Manager,,Setidaknya 3 tahun,DKI-Jakarta,Gaji Kompetitif,Sarjana/S1 Hukum
karir.com,/opportunities/1223500,2019-03-31 23:01:02,Penjualan dan Pemasaran,Marketing Supervisor,,Setidaknya 2 tahun,DKI-Jakarta,Gaji Kompetitif,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1223501,2019-03-31 23:01:06,Penjualan dan Pemasaran,Sales Promotion Girl,,Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1223486,2019-03-31 23:01:09,Quality Control (QC),QUALITY ASSURANCE STAFF,,Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,Sarjana/S1 Farmasi
karir.com,/opportunities/1223414,2019-03-31 23:01:13,Layanan Pelanggan,Customer Care Biznet,,Setidaknya 0 tahun,Yogyakarta,IDR 1.800.000 - 2.000.000,"Diploma Teknik Informatika, Bahasa Inggris, Semuanya"
karir.com,/opportunities/1223435,2019-03-31 23:01:21,Layanan Pelanggan,CUSTOMER SERVICE PEKANBARU,,Setidaknya 0 tahun,Pekanbaru,IDR 2.600.000 - 3.500.000,"Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1223444,2019-03-31 23:01:26,Operasi Hotel,Speech Analysis / QA Call Center Semarang,,Setidaknya 0 tahun,Jawa Tengah,IDR 3.000.000 - 3.500.000,"Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1223475,2019-03-31 23:01:29,Apoteker / Farmasi,ASISTEN APOTEKER,,Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"Diploma, Sarjana/S1 Farmasi"
karir.com,/opportunities/1223476,2019-03-31 23:01:33,Pengembangan Bisnis,Business Development Staff,,Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1223477,2019-03-31 23:01:36,"Akuntansi, Keuangan and others",FINANCE & ACCOUNTING STAFF,,Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,Sarjana/S1 Akuntansi
karir.com,/opportunities/1223478,2019-03-31 23:01:39,"Akuntansi, Keuangan and others",Finance & Accounting Supervisor,,Setidaknya 2 tahun,DKI-Jakarta,Gaji Kompetitif,Sarjana/S1 Akuntansi
karir.com,/opportunities/1223479,2019-03-31 23:01:41,Procurement,General Affair Staff,,Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1223480,2019-03-31 23:01:45,Procurement,HUMAN RESOURCE STAFF,,Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1223481,2019-03-31 23:01:48,Manajemen Operasional,OPERATION MANAGER,,Setidaknya 4 tahun,DKI-Jakarta,Gaji Kompetitif,Sarjana/S1 Semuanya
karir.com,/opportunities/1223482,2019-03-31 23:01:50,Operator,OPERATOR,,Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1223483,2019-03-31 23:01:53,Operasi Gudang,PETUGAS GUDANG,,Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1223484,2019-03-31 23:01:57,Logistik,Production Staff,,Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,Sarjana/S1 Semuanya
karir.com,/opportunities/1223485,2019-03-31 23:02:00,"TI, Programmer",PROGRAMMER,,Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"Diploma, Sarjana/S1 Teknik Informatika"
karir.com,/opportunities/1223382,2019-03-31 23:02:04,Layanan Pelanggan,CUSTOMER SERVICE SUKABUMI,,Setidaknya 0 tahun,Sukabumi,IDR 2.300.000 - 3.200.000,"Diploma, Sarjana/S1 Semuanya"
