url,job,jurusan,lulusan
/opportunities/1084596,Sales Supervisor Pekanbaru,Semuanya,Sarjana/S1
/opportunities/1084598,Sales Supervisor Palembang,Semuanya,Sarjana/S1
/opportunities/1084602,Salesman Jakarta,Semuanya,Diploma
/opportunities/1084605,Salesman Padang,Semuanya,Diploma
/opportunities/1084607,Salesman Makassar,Semuanya,Diploma
/opportunities/1084608,Salesman Pekanbaru,Semuanya,Diploma
/opportunities/1084610,Salesman Samarinda,Semuanya,Diploma
/opportunities/1084612,Salesman Balikpapan,Semuanya,Diploma
/opportunities/1084614,Salesman Palembang,Semuanya,Diploma
/opportunities/1084615,Salesman Batam,Semuanya,Diploma
/opportunities/1081844,Staff IT,Teknik Informatika,Sarjana/S1
/opportunities/1073532,Sales Taskforce Singkawang,Semuanya,SLTA
/opportunities/1073533,Sales Taskforce Sintang,Semuanya,SLTA
/opportunities/1073534,Sales Taskforce Bone,Semuanya,SLTA
/opportunities/1073535,Sales Taskforce Mamuju,Semuanya,SLTA
/opportunities/1073536,Sales Taskforce Morowali,Semuanya,SLTA
/opportunities/1073580,Surveyor Bekasi,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073586,DRIVER CIKARANG,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1080888,QA Manager Area Depok,"Biokimia, Ilmu Biologi, Teknik Kimia",Sarjana/S1
/opportunities/1080889,QA Manager Area Bandung,"Ilmu Biologi, Teknik Kimia",Sarjana/S1
/opportunities/1081424,Staff Warehouse Raw Material & Packaging,"Ilmu Biologi, Bioteknologi, Teknik Kimia",Diploma
/opportunities/1081425,Supervisor Warehouse and Dispatch,Semuanya,Diploma
/opportunities/1081839,Marketing Manager,Semuanya,Sarjana/S1
/opportunities/1081842,General Manager,Semuanya,Sarjana/S1
/opportunities/1081843,Supervisor IT,Teknik Informatika,Sarjana/S1
/opportunities/1073531,Sales Taskforce Tanjung,Semuanya,SLTA
/opportunities/1073124,Sales Taskforce Palu,Semuanya,SLTA
/opportunities/1073120,Field Collection Banda Aceh,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073121,Field Collection Bogor,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073122,Field Collection Bukittinggi,Semuanya,"Apa Saja, Diploma, Sarjana/S1"
/opportunities/1073123,Field Collection Cibinong,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073126, IT Active Directory Engineer,Semuanya,"Diploma, Sarjana/S1"
/opportunities/1073127,Marketing Credit Executive Bekasi,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073162,SALES TANGERANG SELATAN,Semuanya,"SLTA, Diploma"
/opportunities/1073184,Marketing Credit Executive Yogyakarta,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073185,Marketing Credit Executive Magelang,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073186,Representative Coordinator Kudus,"Hukum, Psikologi, Manajemen, Semuanya",Sarjana/S1
/opportunities/1073187,Representative Coordinator Yogyakarta,"Hukum, Psikologi, Manajemen, Semuanya",Sarjana/S1
/opportunities/1073220,Sales Banyuwangi,Semuanya,"SLTA, Diploma"
/opportunities/1073223,Sales Dharmasraya,Semuanya,"SLTA, Diploma"
/opportunities/1073119,Field Collection Balikpapan,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073096,Field Collection Denpasar,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073098,Field Collection Tangerang selatan,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073060,Marketing Credit Executive Poso,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073061,Junior Kolektor Palopo,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073062,Marketing Credit Executive Timika,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073063,MAGANG ,Semuanya,SLTA
/opportunities/1073095,Field Collection Bandung,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073101,Field Collection Lampung,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073102,Field Collection Makassar,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073106,Field Collection Malang,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073108,Field Collection Medan,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073110,Field Collection Palembang,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073113,Field Collection Serang,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073117,Field Collection Surabaya,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073059,Marketing Credit Executive Bontang,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073046,Junior Kolektor Muko-Muko,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073047,Junior Kolektor Banjarmasin,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073050,Marketing Credit Executive Banjarmasin,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074065,RIDER YOGYAKARTA,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074112,Kolektor Kediri ,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1072936,Kolektor Bekasi,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1072937,Remedial Tangerang Selatan,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1072963,Representative Coordinator Mojokerto,"Administrasi Bisnis (Manajemen), Hukum, Psikologi, Semuanya",Sarjana/S1
/opportunities/1073052,Junior Kolektor Palangkaraya,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073053,Marketing Credit Executive Pangkalan Bun,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073055,Counter Sales Singkaawang,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073056,Marketing Credit Executive Singkawang,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073057,Marketing Credit Executive Ketapang,Semuanya,"SLTA, Diploma, Sarjana/S1"
